106	269	19	1	2026-01-30 16:54:00	2026-02-06 22:20:57.732	good	good		\N	firmada	2026-01-30 21:56:05.533	\N	acta_generada
533	136	65	1	2026-02-24 16:04:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-24 22:57:09.724	\N	no_generada
103	264	17	1	2026-01-30 14:06:00	\N	excellent	\N		\N	firmada	2026-02-18 19:49:50.35	\N	acta_generada
536	621	65	1	2026-02-24 16:05:00	\N	good	\N	Asignación automática junto con celular/tablet	\N	firmada	2026-02-24 22:57:09.724	\N	no_generada
547	596	68	7	2026-02-24 17:35:00	\N	good	\N	Asignación automática junto con celular/tablet	\N	firmada	2026-02-24 22:43:18.268	\N	acta_generada
529	56	65	1	2026-02-24 16:04:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-24 22:57:09.724	\N	no_generada
82	242	12	1	2026-01-30 10:36:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
84	109	12	1	2026-01-30 10:36:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
80	241	12	1	2026-01-30 10:36:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
105	263	17	1	2026-01-30 14:06:00	\N	excellent	\N	Asignación automática junto con celular/tablet	\N	firmada	2026-02-18 19:49:50.35	\N	acta_generada
555	119	67	1	2026-02-25 14:02:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
108	268	19	1	2026-01-30 16:54:00	2026-02-06 22:20:57.732	good	good	Asignación automática junto con laptop	\N	firmada	2026-01-30 21:56:05.533	\N	acta_generada
104	262	17	1	2026-01-30 14:06:00	\N	excellent	\N	Asignación automática junto con celular/tablet	\N	firmada	2026-02-18 19:49:50.35	\N	acta_generada
562	642	69	1	2026-02-25 14:39:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
565	170	69	1	2026-02-25 14:39:00	\N	good	\N	Asignación automática junto con laptop	\N	acta_generada	\N	\N	no_generada
99	261	17	1	2026-01-30 14:05:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-18 19:49:50.35	\N	acta_generada
553	636	67	1	2026-02-25 14:02:00	\N	good	\N		\N	acta_generada	\N	\N	no_generada
98	260	17	1	2026-01-30 14:05:00	\N	good	\N	Asignación automática junto con laptop	\N	firmada	2026-02-18 19:49:50.35	\N	acta_generada
